id,time,InfectionLevel11,dead1,infected1,naive1,patientFlowOver11,patientFlowOver21,patient_severe_critical1,vaccinated1
167,3/11:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
168,3/12:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
169,3/12:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
170,3/13:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
171,3/13:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
172,3/14:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
173,3/14:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
174,3/15:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
175,3/15:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
176,3/16:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
177,3/16:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
178,3/17:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
179,3/17:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
180,3/18:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
181,3/18:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
182,3/19:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
183,3/19:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
184,3/20:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
185,3/20:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
186,3/21:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
187,3/21:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
188,3/22:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
189,3/22:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
190,3/23:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
191,3/23:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
192,4/00:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
193,4/00:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
194,4/01:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
195,4/01:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
196,4/02:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
197,4/02:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
198,4/03:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
199,4/03:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
200,4/04:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
